Author,Comment,Likes,Timestamp
@ronakparjapati2264,&quot;Does finally always execute in java&quot; ? Mam my doubt is this...finally is a block not method,0,2024-09-15T07:24:13Z
@ReshmaSDevan,Thanks,0,2024-09-10T18:13:26Z
@RazaHussain96,please keep the background of your slides dark/black as its uncomfortable for someone people to watch on light/white background,1,2024-08-13T15:48:56Z
@SreedharaGS-q4h,Purpose: JIT compilers aim to improve program performance by compiling frequently executed parts of code into native machine code at runtime.,6,2024-08-12T07:12:12Z
@DeepaliIngole-g6c,How to call java methods/classes (eclipse based maven project)  to .Net framework (C# code),0,2024-07-30T13:15:56Z
@vickychatap2734,I watched this video before every interview.. good understanding and love you voice ❤️,0,2024-07-19T13:45:57Z
@SamPaulIsaac,"Thanks team for the wonderful work, it really helps.",1,2024-07-10T06:35:21Z
@khushisaraswat5826,Nice content mam😊,1,2024-07-05T18:21:25Z
@prateektripathi100,finalize method has been deprecated in Java 9,0,2024-06-27T16:07:56Z
@gopinathsah,"keep your phone away please, while making videos, sounds are coming from your phone.",0,2024-06-21T07:00:46Z
@rrohan7351,..,0,2024-06-19T19:03:10Z
@pearlssnowboard3793,"Thanks for your vedio, do you have some scenario interview question for senior Java software engineer?",0,2024-06-18T02:52:53Z
@utsavmodh9698,You have fabulous speech🎉 of course great content as well. Outstanding.. Keep uploading ❤,1,2024-06-15T15:25:12Z
@utkarshvishwakarma8871,Great video!! It would be helpful if you provide those ppts for recap,0,2024-06-15T08:12:10Z
@gamefuzer,hello sister if this all content is there in pdf form then make available it in description please!,0,2024-06-11T05:32:39Z
@athul03,What is the need of Interpreter then? Cant the JRE use JIT compiler for the whole conversion of byte code to  machine code?,0,2024-06-06T13:59:18Z
@parveensyed807,Is this question usefull for 7years also,0,2024-05-29T08:58:54Z
@gauravshirskar5633,"Thank you so much Mam!! I have one doubt here on JIT compiler , I read somewhere JIT is use for repeated line/block of code so it enhance performance ..Its just doubt",0,2024-05-25T18:36:16Z
@TruptiChunkikar,"very irritating voice and accent, I wanted to listen it till last but could not bear it till end so dropping off this video",1,2024-05-21T12:06:11Z
@wolverine87833,"A wonderful collection of videos. I did watch your videos which of course has contributed around 70% to cracking interviews if not 100%.<br><br>A contribution from your videos made me land a job at one of the BIG 4s.<br><br> Thank you, great job!",1,2024-05-13T18:54:02Z
@hadduken37,"Thank you mam! I got a job offer today because of all you taught!<a href=""UCkszU2WH9gy1mb0dV-11UJg/Rf90XtDbG8GQ8gTz_prwAg""></a>",1,2024-05-04T01:31:22Z
@hadduken37,Thank you so much mam! I got a job offer because of you.,7,2024-05-04T01:30:05Z
@akankshasharma9369,thanks for such important video i cracked my interview and urs video helped alot ty so much for such efforts and making it free for us,1,2024-05-01T06:59:35Z
@ra90451,Great presentation,1,2024-04-30T19:12:08Z
@mohammadzain32,Is JIT Interpreter,0,2024-04-29T10:42:47Z
@gauravsrivastava17,Good video with great questions,1,2024-04-24T15:23:36Z
@choulvijay8281,Thank You mam...,2,2024-04-17T12:12:51Z
@anushkachawla1019,Yes this video helps a lot ❤️,1,2024-04-17T11:54:34Z
@VenkateshChejarla-kw4wn,Can you please tell me any consultancy for jobs,0,2024-04-10T16:11:50Z
@shah_castic,Are all these notes and question/answers from CDAC? Any chances of that?<br>Just asking out of curiosity!<br>You have done a great job with this video 🎉,1,2024-04-07T18:29:04Z
@pallavi5284,"Di you are the best, hardly there are people who can explain the way you can explain I have learnt so many things because of u. Di but I have one request if u start DSA related series there  is no one other than you have the ability to make us understand those hard algorithms in simple way on whole YouTube world. It will really help everyone if u too enter into DSA training",1,2024-04-05T12:31:47Z
@oldblood3383,"jaj tam dzer mor berany bozis txeq, sax tex duq eq qunem dzer abracy lavy qunac gandonner",0,2024-04-04T22:39:49Z
@mihirumrotkar6534,Nice explanation ma&#39;am 😊,0,2024-04-03T12:20:42Z
@366degree,JIT Complier Explaination is not clear.,0,2024-04-01T07:19:42Z
@Georgianlegend,thx 😍,1,2024-03-26T11:39:51Z
@ajitpeshane,Thanks,3,2024-03-25T02:34:55Z
@legendarygaming8180,singleton-<br>public class Singleton {<br><br>    private static Singleton instance;<br><br>    private Singleton() {}<br><br>    public static Singleton getInstance() {<br>        if (instance == null) {<br>            instance = new Singleton();<br>        }<br>        return instance;<br>    }<br>},2,2024-03-19T03:40:45Z
@anushavepuri4152,Really helpful.... I never seen these kind of vedios earlier.... Really appreciate your great work mam..... Please keep on gng.... Thank you so much .......,1,2024-03-13T16:15:49Z
@upputuriprabhakar8560,out of all this questions 6 questions were asked in my DP World interview. I would have known this channel earlier. My bad,0,2024-03-04T03:27:04Z
@vinayspv,Synchronized is not required for singleton?,1,2024-02-11T06:16:36Z
@Vijayc-e9k,Jai Shree Ram,0,2024-01-22T06:45:57Z
@Smile-queen143-l9h,Thank you so much ma&#39;am ❤❤❤❤❤❤❤❤❤,1,2024-01-16T13:17:47Z
@guruvachan2004indian,In this playlist enough for a fresher Java developer? ___plzz reply,0,2024-01-07T10:14:09Z
@everyday___life,"Singleton is one instance in one JVM. <br>So if I run the same program twice or thrice in a single JVM, there will still be only single instance?",1,2023-12-18T23:52:49Z
@raghavendrab.a.2452,"Q) How to make the class immutable, if there are collection variables in the class, they.n there is an extra step to make them read only",1,2023-12-12T12:03:02Z
@manasigurav1538,helpful... provide this ppt in description also👍👍,0,2023-12-10T05:43:40Z
@shivaprasad.m9499,Hi mam <br>&quot;Shiva is a person &quot; in this statement whicj one is object and which one is class,2,2023-12-08T08:12:23Z
@vivekpatel6721,"Yes I have a doubt <br>So I have read that JIT compiler will increase the efficiency of interpreter.<br>Interpreter will read code line by line , interpret it and then execute it. And If same method calls again It will again interpret and execute it<br><br>hence , JIT compiler will create native method for that part and same method calls again then It will use that native method for that part.<br>and also native methods are those methods which are in non java  langauge.<br>So, Is JVM using another language also internally?<br><br>Am I thinking right ??<br>Just let me know and If not, kindly correct me please.",1,2023-12-06T12:16:55Z
@danfredo-er4gd,"Great content, but very bad voice intonation and accent.Why do u sound like that?so annoying.",0,2023-12-01T05:55:07Z
@adityadeshmukh7413,Can i know name of lady who is talking in video,0,2023-11-30T08:22:03Z
@akashlathiya2725,"Thanks buddy, i got 7L package",9,2023-11-27T18:48:07Z
@utsavkaushal9063,This video was too good. One of my friends was asked how to make a class immutable in an interview. He was also asked how to make a singleton class. This video has both!,1,2023-11-19T16:12:18Z
@AmjadSyedd,"<a href=""https://www.youtube.com/watch?v=PwiuAebCruY&amp;t=867"">14:27</a> Sub se phele 😄, but that was cute",1,2023-11-16T16:54:57Z
@daniil3815,rumors said she still didn&#39;t Activate Windows.,0,2023-11-03T12:58:21Z
@sayedahammed6014,Amazing 😊,2,2023-10-30T17:26:21Z
@nonegirl112,Thank you may be this will be help me in future,1,2023-10-22T05:09:32Z
@swapnilpandey6519,"Great work, helped alot, kudos to hard work!",1,2023-10-18T15:34:38Z
@CHALLENGESTORY,ok so if JIT compiler was introduced to fasten the process then why is the interpreter still in use?,1,2023-09-26T11:24:56Z
@mr_ashu_vlogs,CAN YOU MAKE A VIDEO ABOUT FULLY  JAVA INTERVIEW TOPICS  WHICH WILL IMPORTANT ?,0,2023-09-09T11:26:02Z
@mr_ashu_vlogs,CAN YOU MAKE A VIDEO ABOUT FULLY  JAVA INTERVIEW TOPICS  WHICH WILL IMPORTANT ?,2,2023-09-09T11:25:19Z
@KUMAR-f8p7m,Can you provide me the source link for ppt materials?,1,2023-09-02T16:38:13Z
@АльфредГордан,You need to activate your windows,1,2023-08-28T12:16:46Z
@hakobhn,"Hi. Method hiding - &quot;If a subclass (child class) defines a static method with the same signature as a static method in the superclass (parent class), the subclass method conceals the one in the superclass&quot;. Method hiding occurs because static methods are resolved at compile time. Please, replace &quot;same return type&quot; with &quot;same signature&quot;.",3,2023-08-27T07:56:49Z
@rahulsingh-wz1jx,Marked interface basically provide some ability to the object  and marked interface doesn&#39;t contain any method,1,2023-08-24T20:54:39Z
@Rkreddy123,Thank you ❤,1,2023-08-19T09:01:38Z
@LegendaryWisdomQuotes,"<a href=""https://www.youtube.com/watch?v=o4gtigc95MA"">https://youtu.be/o4gtigc95MA</a>",0,2023-08-13T20:42:13Z
@projectvideos8140,thnx for your explanation,0,2023-07-23T12:57:23Z
@souravharkara7585,Ma&#39;am your linkdin id ?,0,2023-07-19T19:26:22Z
@rahultyagi2136,"No, in Java, a class cannot be declared as final",1,2023-07-12T06:22:56Z
@dumbbo123,"Thank you jee for your video, bohot acha hai aur kaafi useful thi! subscribed!!",1,2023-07-06T02:13:55Z
@priyay,Wow ... Wednesday Eve i am having an interview.. thanks a lot fr this clarity ❤,3,2023-06-19T04:55:39Z
@jagrutipatil1020,Thanks mam...☺️,1,2023-06-15T14:00:26Z
@gunjanroy8876,Can you please upload the slides,0,2023-06-06T16:53:53Z
@prahladupadhyay5518,"the best part of this video is when she say &quot;Sabse Pehele&quot; in hindi  in <a href=""https://www.youtube.com/watch?v=PwiuAebCruY&amp;t=867"">14:27</a> sec",1,2023-05-22T07:43:39Z
@ashrafalishaik2319,thanks very hlepfull,1,2023-05-20T09:12:20Z
@itsmesaquib,Nice set of questions. Thanks ❤,2,2023-05-19T18:27:21Z
@vijaykumar-tp8vx,Why pointers are unsafe.. please explain.,0,2023-05-15T13:33:43Z
@consistentlearners,"Thanks for making such videos. These videos are very helpful for interview preparation. <br>I would like to correct you on one question mentioned in the above video related to JIT compiler. The probable accurate answer to it would be below answer.<br><br>When a Java program is executed, the JVM interprets the bytecode one instruction at a time. This process is relatively slow, because each bytecode instruction must be interpreted by the JVM. However, when the JVM encounters a loop or frequently executed code, the JIT compiler compiles that bytecode to native machine code and caches the result, so that subsequent executions of the same code can be executed more quickly.",47,2023-05-13T03:35:24Z
@saaii9,I think you know Hindi also so can you make videos in Hindi also it will help to understand clearly.,1,2023-04-19T04:56:09Z
@zeeshanahmad7741,speed of voice fast,0,2023-04-16T11:49:53Z
@abhiie18,"at <a href=""https://www.youtube.com/watch?v=PwiuAebCruY&amp;t=542"">09:02</a> if we override static moethod then it will hide the child class method not the parent class.",0,2023-04-15T12:41:04Z
@yashwanthreddygowreddigari1997,Thank  you,1,2023-04-09T13:39:27Z
@coolyaaro,"Thank you so much team Code Decode , your videos were a huge help to prepare for interviews  ,truly grateful for your videos ,wishing you all the success you aspire",7,2023-04-06T08:15:33Z
@maheshkavya5470,I can&#39;t  understanding what topic is going in the video I was watching about java but in this video what questions discussing also n&#39;t understanding to my mind,1,2023-04-02T18:28:31Z
@kirankumarmothukuri7660,Your videos are amazing. it is helping me a lot for interview preparation. I liked subscribed your channel.,3,2023-04-01T17:02:05Z
@ashishjoseph8510,Great,1,2023-03-30T16:27:28Z
@gangumallakrishna1944,Thank u,1,2023-03-19T12:35:13Z
@Sandeepkumar-iw2vi,Mam aap hindi main padhaya karo,1,2023-03-18T17:15:15Z
@Sandeepkumar-iw2vi,Mam aap hindi main padhaya karo,1,2023-03-18T17:15:03Z
@pavanichamarthy206,"Thank you for the video, it is helpful to brush up my skills. Also I found this channel helpful<br><br><a href=""https://www.youtube.com/@reddyme/shorts"">https://www.youtube.com/@reddyme/shorts</a>",0,2023-03-13T21:57:44Z
@Rajendra-k3x9g,Thank you mam you are helping a lot 🙏🙏🙏🙏,1,2023-03-13T17:15:58Z
@christokawuma6962,"YOU PRECISE TO THE POINT, LOVE YOUR CONTENT!!!!POSSIBLE TO HAVE PRACTICAL SPRINBOOT AND ANGULAR PROJECTS...wouldnt mind having subcription",0,2023-03-05T19:34:48Z
@sitharainfotechnologies304,May I know your name madam?,0,2023-02-24T04:47:03Z
@kshitijnimkar4252,can you make the ppt available for each video which u have presented?,1,2023-02-21T09:16:12Z
@wtfun5465,Thank u mam for covering these all questions .. one of the best  video on java 👏..,2,2023-02-19T23:28:04Z
@Shankar-lz7zs,Nice mam,1,2023-02-17T13:34:18Z
@deardeva9268,Can u expalain experience interviews,1,2023-02-15T16:46:56Z
@Squizen,Thank you for this video :),0,2023-02-15T12:49:41Z
@lizzyshen233,"Thank you very much! This video gives very clear ideas about these questions, helps a lot! Do you have similar videos for other languages? Thanks!",2,2023-02-10T19:14:48Z
@mikedelta658,Wonderful! It will help me for my upcoming Java developer interview .,1,2023-02-10T15:06:11Z
@CodingWorld369,"Then why we are using interpreter,<br>Is jit compiler unable to execute the machine code ?",0,2023-02-09T14:15:20Z
@adennis200,"Hmm but since pointers are not used in java and the questions are about core java, does it really make sense to ask about pointers.<br>I never had anything to do with pointers cause in my languages I use they don&#39;t exist.<br>So why should I know about them?",1,2023-02-07T14:42:20Z
@musicblogvikasrockzeditz,Most imp questions collected thanku for the exlanation,5,2023-01-26T07:22:05Z
@pradipta.007,Pls back your theory with a small coding example then It would be more helpful,3,2023-01-24T20:07:08Z
@shivanikulkarni9192,Thank you so  much for this series.. It helped to get me job at CITI,3,2023-01-10T13:27:36Z
@rohitgomkar1095,Your imformative videos helping me alot,1,2023-01-05T07:53:52Z
@sagarhari,Just wow content 😀<br>Thank you!,2,2022-12-22T16:41:00Z
@kidsacting9371,If there is jit present in jre then why there is need of interpreter,0,2022-12-21T12:17:01Z
@Arjun2mkap3929,"<a href=""https://www.youtube.com/watch?v=PwiuAebCruY&amp;t=524"">8:44</a>",0,2022-12-21T08:10:42Z
@rohini7160,I&#39;m really sry Madam if I hurts you,1,2022-12-18T14:24:22Z
@rohini7160,Ur voice is not comfortable to listen,1,2022-12-17T14:01:17Z
@OG-ek2kw,A great great video thank you very much,1,2022-12-11T18:14:15Z
@okaberintarou5020,This was beautiful! Keep up the good work.,2,2022-11-30T05:40:09Z
@sproutboot,wow I wish I knew your channel sooner.,1,2022-11-18T17:00:44Z
@chishamalama,Thank you for your video. Very helpful,1,2022-11-03T15:43:38Z
@shankar7435,"Great list of Q&amp;A. Just wanted to add one more to the extension of last question. How can you make singleton class thread-safe. <br><br>In this example, singletonCount is used to check number of instances, which is optional. <br><br>Singleton Class:<br>========================<br><br>public class Singleton {<br><br>    private static Singleton singleton;<br>    private static Object mutex = new Object();<br>    private static int singletonCount;<br><br>    public Singleton() {<br>        singletonCount++;<br>    }<br><br>    public static int getInstanceCount() {<br>        return singletonCount;<br>    }<br><br>    public static Singleton getInstance() {<br>        Singleton result = singleton;<br>        if (result != null)<br>            return result;<br>        synchronized (mutex) {<br>            if(result == null) {<br>                singleton = result = new Singleton();<br>            }<br>        }<br>        return result;<br>    }<br>}<br><br><br><br><br>Please feel free to use the below to test the above code for Thread safety feature.<br>=======================================================================<br><br>import java.util.concurrent.ExecutorService;<br>import java.util.concurrent.Executors;<br><br>public class RunTest {<br>    public static void main(String[] args) {<br>        //Singleton singleton = Singleton.getInstance();<br><br>        ExecutorService executorService = Executors.newFixedThreadPool(3000);<br>        int i = 0;<br>        for (i = 0; i&lt;100000; i++) {<br>            executorService.submit(new Runnable() {<br>                @Override<br>                public void run() {<br>                    try {<br>                        Thread.sleep(7);<br>                    } catch (InterruptedException e) {<br>                        throw new RuntimeException(e);<br>                    }<br>                    //System.out.println(&quot;Thread : &quot;+Thread.currentThread().getName());<br>                    //Singleton singleton = Singleton.getInstance();<br>                    SingletonStatic singletonStatic = SingletonStatic.getInstance();<br>                }<br>            });<br>        }<br><br>        executorService.shutdown();<br><br>        while(!executorService.isTerminated()){<br>            try {<br>                //System.out.println(&quot;Before Sleep&quot;);<br>                Thread.sleep(1000);<br>            } catch (InterruptedException e) {<br>                throw new RuntimeException(e);<br>            }<br>        }<br><br>        System.out.println(&quot;Number of singleton objects created are : &quot;+SingletonStatic.getInstanceCount()<br>        +&quot; for iterations &quot;+i);<br>    }<br>}",1,2022-10-31T07:12:13Z
@banothmanjula5746,Thank you for given this information,0,2022-10-28T01:23:33Z
@sankarsubramanian6312,"Nice explanation, thank you :)",1,2022-10-11T16:09:49Z
@5b5hariharancse-b81,"Java is interpreted language, right?<br>Then why is there a compiler interpretation problem... so is java semi- interpreted language",2,2022-10-11T12:15:46Z
@independentboi8499,Thank you so much for this amazing informative video.... We need more content....,1,2022-10-05T15:47:33Z
@tanvirkaurbedi,pdf of this video?,0,2022-09-28T06:33:40Z
@raviramkiranbharadwaj6676,In private class we access through static method,0,2022-09-28T05:10:01Z
@hackstreet781,i like system.crash() :p,1,2022-09-27T04:32:10Z
@harsh13200,For a sec i thought how my Windows isn&#39;t activated,2,2022-09-24T03:11:04Z
@shreyashachoudhary480,"Informative, thanks!",1,2022-09-22T03:32:31Z
@ssc-inspiration,TCS NQT interview question please,1,2022-09-14T18:06:01Z
@KARTHIKREDDY1356,will u pls tell me in a simple way about jit in java compiler,0,2022-09-14T16:20:28Z
@coverdrive0073,Great video mam.. thankyou soo much.,2,2022-09-08T06:25:28Z
@abhijit9595,Create Videos on Oops Concepts Series,0,2022-09-06T14:56:12Z
@UmmakaJagadish,tq madam,2,2022-08-02T03:25:12Z
@dhanyaraj0,"Hi Team,<br>I have a doubt on singleton design pattern.If we are creating private constructor , no other class can create instance of this particular class.then how the other class will be able to get this class instance ?",1,2022-08-01T04:56:09Z
@jaggyjack1005,Wow very informative thank you mam,2,2022-07-31T08:37:10Z
@extempere,Full mouth of English...,1,2022-07-29T09:38:12Z
@shubhangikhedkar6483,"Hey could you please help me out I love Java language ,my concept is crytral clear on each and every topic but when I come to solve some problem or else implements on that point I don&#39;t able to solve it quickly or some time I felt I am not born for coding please suggest?",0,2022-07-29T08:02:59Z
@ankush_in_sync5998,Thank you.,1,2022-07-21T12:43:08Z
@abhishekkumarjha5503,Your singleton implementation is not thread-safe.,1,2022-07-12T04:29:12Z
@personelpurpose1531,Is it easy to get c2h jobs after having a break in career for 2 years,1,2022-06-28T09:17:08Z
@smarthasab1597,Hello code decode <br>I have an interview on wednsday on  6/22/2022<br>@mahharish university masters programme<br>Please tell me what to do.<br>I was studying little bit before seeing this videos but its make me to think what to know . Best video <br>Thank you so much wait form u more,0,2022-06-19T21:02:57Z
@SaiTeja-ym2er,Thanks to whole team. Because of your tutorial and important guidelines. I had cracked the 3 companies with satisfied package.,16,2022-06-10T13:08:25Z
@gajananraut9863,thanks a lot for explaining all the Questions  in such a great way ..,5,2022-05-31T14:47:59Z
@akash89ful,Learnt so many new things today....a big thank you !!,1,2022-05-29T18:06:48Z
@debuggedcommunity,"latest java interview questions <a href=""https://www.youtube.com/playlist?list=PLR0Mp9jDLXH3ZbKZekq33XDQXQftBB3cw"">https://www.youtube.com/playlist?list=PLR0Mp9jDLXH3ZbKZekq33XDQXQftBB3cw</a>",0,2022-05-27T20:50:39Z
@manishsharma-ts1rr,Nice content..can we get pdf of all these questions and answers..thanks,1,2022-05-22T11:57:14Z
@kausalyasathi8480,"Hi <br>I have a doubt, if Jit compiler converts byte code into machine executable code efficiently then why again interpreter should be there in the JRE. please clarify.",4,2022-05-20T04:45:04Z
@dipaliyadav-koli1060,Thank you dear for such a great video.. Very helpful to brush up your skills.. ❤,2,2022-05-13T12:47:33Z
@justengineersthing913,"!! Attention !!<br>Java Frequently Asked Interview Question is There on my channel. <br>Go check it out , it will be worth you time.<br>don&#39;t forget to subscribe.",0,2022-05-01T18:18:19Z
@justengineersthing913,"!! Attention !!<br>Java Frequently Asked Interview Question is There on my channel. <br>Go check it out , it will be worth you time.<br>don&#39;t forget to subscribe.",0,2022-05-01T18:18:11Z
@justengineersthing913,"!! Attention !!<br>Java Frequently Asked Interview Question is There on my channel. <br>Go check it out , it will be worth you time.<br>don&#39;t forget to subscribe.",0,2022-05-01T18:18:07Z
@justengineersthing913,"!! Attention !!<br>Java Frequently Asked Interview Question is There on my channel. <br>Go check it out , it will be worth you time.<br>don&#39;t forget to subscribe.",0,2022-05-01T18:18:04Z
@kalaisuyambu4966,Make a class immutable <br>Last point not cleared,1,2022-04-18T13:55:34Z
@nadiyalokesh7658,Please make a video on deep copy and clonaable,1,2022-04-17T09:30:52Z
@subramanianchenniappan4059,All your videos are good .,1,2022-04-09T07:13:53Z
@cutiesri48,I have tcs interview can anyone plz suggest me the important topics that I can cover for interview..,1,2022-04-07T10:32:36Z
@sumeetsapla,Singleton explained very nicely. Thanks for video👍,1,2022-03-31T10:56:02Z
@shaileshtekale2287,Superb coverage !!! ... Can i get these questions compiled in single document? It will be great help...,1,2022-03-26T06:14:55Z
@jayatekale2823,World’s best #1 series for preparing interview questions on Java got hired 😇 thank you so much it really really helped me out to be more confident and clearing all doubts while covering all important concepts.,6,2022-03-23T15:26:54Z
@priyasujitsalunke5274,"Thank you so much ma&#39;am. I am referring all your Videos since last one month and I have cracked interviews of TCS, LTI, HCL, Wipro, HSBC. Received a much better offer than I expected. Thank you so much ☺️ god bless you ❤️",47,2022-03-23T02:39:24Z
@krishnavamsireddy6098,Thanks sister 🌿🌿🌿,1,2022-03-12T17:46:33Z
@richamehta1179,Can you give a real life usage/implementation of the singleton class?,4,2022-03-07T17:42:05Z
@cuteharman2019,thanks mam ❤️,1,2022-03-01T03:47:45Z
@themahendra001,Thanks for sharing the knowledge!,1,2022-02-26T18:11:37Z
@naveenkumarkandregula2959,Great. Nicely explained without any kind of nonsense,3,2022-02-26T10:01:45Z
@MrAsgar123,"Awesome Explanation, Thank you so much for sharing this useful knowledge for interview purposes.",5,2022-02-13T08:44:46Z
@1ankushraina,"Thank you for the questions, highly appreciate.<br>But just one thing around JIT compiler, you just mentioned it compiles bunch of code, if that is the only answer then why interpreter is in place, Why not JIT take over and do the whole compilation rather than interpreter..?<br>there must be something more to that bunch of code you mentioned...&amp; that is what an interviewer will ask as a follow up question<br>Can you please clarify",1,2022-01-20T09:49:54Z
